alto-saxophone-bbchro-scale-3octs.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,138.591316,Bb3+0.0,C#3+0.0,4\12 0.0%, 123 Bb || 456 C,705742400_0_0_|_0.0:0.0_0.0:0.0,
note,146.832384,B3+0.0,D3+0.0,5\12 0.0%, 123 B || 456 C,705734208_0_0_|_0.0:0.0_0.0:0.0,
note,155.563492,C4+0.0,Eb3+0.0,6\12 0.0%, 123 | 456 C,705693248_0_0_|_0.0:0.0_0.0:0.0,
note,164.813779,C#4+0.0,E3+0.0,7\12 0.0%, 123 C# || 456 C,705730112_0_0_|_0.0:0.0_0.0:0.0,
note,174.614116,D4+0.0,F3+0.0,8\12 0.0%, 123 | 456,168822336_0_0_|_0.0:0.0_0.0:0.0,
note,184.997211,Eb4+0.0,F#3+0.0,9\12 -0.0%, 123 | 456 Eb,437257792_0_0_|_0.0:0.0_0.0:0.0,
note,195.997718,E4+0.0,G3+0.0,10\12 0.0%, 123 | 45-,34604608_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,F4+0.0,Ab3+0.0,11\12 0.0%, 123 | 4--,1050176_0_0_|_0.0:0.0_0.0:0.0,
note,220.0,F#4+0.0,A3+0.0,0\12 0.0%, 123 | 4-F#-,68159040_0_0_|_0.0:0.0_0.0:0.0,
note,233.081881,G4+0.0,Bb3+0.0,1\12 0.0%, 123 | ---,1600_0_0_|_0.0:0.0_0.0:0.0,
note,246.941651,Ab4+0.0,B3+0.0,2\12 0.0%, 123 G# | ---,3648_0_0_|_0.0:0.0_0.0:0.0,
note,261.625566,A4+0.0,C4+0.0,3\12 0.0%, 12- | ---,576_0_0_|_0.0:0.0_0.0:0.0,
note,277.182631,Bb4+0.0,C#4+0.0,4\12 0.0%, 12- | Bb ---,262720_0_0_|_0.0:0.0_0.0:0.0,
note,293.664768,B4+0.0,D4+0.0,5\12 0.0%, 1-- | ---,64_0_0_|_0.0:0.0_0.0:0.0,
note,311.126984,C5+0.0,Eb4+0.0,6\12 0.0%, 1-- | C ---,131136_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,C#5+0.0,E4+0.0,7\12 0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,349.228232,D5+0.0,F4+0.0,8\12 0.0%, o 123 | 456,168822337_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Eb5+0.0,F#4+0.0,9\12 0.0%, o 123 | 456 Eb,437257793_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,E5+0.0,G4+0.0,10\12 0.0%, o 123 | 45-,34604609_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,F5+0.0,Ab4+0.0,11\12 0.0%, o 123 | 4--,1050177_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,F#5+0.0,A4+0.0,0\12 0.0%, o 123 | 4-F#-,68159041_0_0_|_0.0:0.0_0.0:0.0,
note,466.163762,G5+0.0,Bb4+0.0,1\12 0.0%, o 123 | ---,1601_0_0_|_0.0:0.0_0.0:0.0,
note,493.883302,Ab5+0.0,B4+0.0,2\12 0.0%, o 123 G# | ---,3649_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,A5+0.0,C5+0.0,3\12 0.0%, o 12- | ---,577_0_0_|_0.0:0.0_0.0:0.0,
note,554.365263,Bb5+0.0,C#5+0.0,4\12 0.0%, o 12- | Bb ---,262721_0_0_|_0.0:0.0_0.0:0.0,
note,587.329536,B5+0.0,D5+0.0,5\12 0.0%, o 1-- | ---,65_0_0_|_0.0:0.0_0.0:0.0,
note,622.253968,C6+0.0,Eb5+0.0,6\12 0.0%, o 1-- | C ---,131137_0_0_|_0.0:0.0_0.0:0.0,
note,659.255114,C#6+0.0,E5+0.0,7\12 0.0%, o --- | ---,1_0_0_|_0.0:0.0_0.0:0.0,
note,698.456464,D6+0.0,F5+0.0,8\12 0.0%, o d --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,739.988846,Eb6+0.0,F#5+0.0,9\12 0.0%, o eb d --- | ---,13_0_0_|_0.0:0.0_0.0:0.0,
note,783.990873,E6+0.0,G5+0.0,10\12 0.0%, o f -23 | ---,1569_0_0_|_0.0:0.0_0.0:0.0,
note,830.609396,F6+0.0,Ab5+0.0,11\12 0.0%, o f -2- | ---,545_0_0_|_0.0:0.0_0.0:0.0,
note,880.000001,F#6+0.0,A5+0.0,0\12 0.0%, o f -2- | Bb ---,262689_0_0_|_0.0:0.0_0.0:0.0,
note,932.327524,G6+0.0,Bb5+0.0,1\12 0.0%, o f --- | Bb 4--,1310753_0_0_|_0.0:0.0_0.0:0.0,
note,987.766603,Ab6+0.0,B5+0.0,2\12 0.0%, o 123 | C Bb 4--,1443393_0_0_|_0.0:0.0_0.0:0.0,
note,1046.502262,A6+0.0,C6+0.0,3\12 0.0%, o -23 | C Bb 4--,1443329_0_0_|_0.0:0.0_0.0:0.0,
note,1108.730525,Bb6+0.0,C#6+0.0,4\12 0.0%, o --3 | C Bb 4--,1442817_0_0_|_0.0:0.0_0.0:0.0,
