soprano-saxophone-standard.csv
Instrument: Soprano Saxophone
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,207.6523481,Bb3+0.0,Ab3+0.0,11\12 -0.0%, 123 Bb || 456 C,705742400_0_0_|_0.0:0.0_0.0:0.0,
note,219.9999986,B3+0.0,A3+0.0,0\12 -0.0%, 123 B || 456 C,705734208_0_0_|_0.0:0.0_0.0:0.0,
note,233.0818795,C4+0.0,Bb3+0.0,1\12 -0.0%, 123 | 456 C,705693248_0_0_|_0.0:0.0_0.0:0.0,
note,246.9416499,C#4+0.0,B3+0.0,2\12 -0.0%, 123 C# || 456 C,705730112_0_0_|_0.0:0.0_0.0:0.0,
note,261.6255642,D4+0.0,C4+0.0,3\12 -0.0%, 123 | 456,168822336_0_0_|_0.0:0.0_0.0:0.0,
note,277.1826304,Eb4+0.0,C#4+0.0,4\12 -0.0%, 123 | 456 Eb,437257792_0_0_|_0.0:0.0_0.0:0.0,
note,293.6647664,E4+0.0,D4+0.0,5\12 -0.0%, 123 | 45-,34604608_0_0_|_0.0:0.0_0.0:0.0,
note,311.126982,F4+0.0,Eb4+0.0,6\12 -0.0%, 123 || 4--,1082944_0_0_|_0.0:0.0_0.0:0.0,
note,329.6275554,F#4+0.0,E4+0.0,7\12 -0.0%, 123 | 4-F#-,68159040_0_0_|_0.0:0.0_0.0:0.0,
note,349.2282303,G4+0.0,F4+0.0,8\12 -0.0%, 123 | ---,1600_0_0_|_0.0:0.0_0.0:0.0,
note,369.9944218,Ab4+0.0,F#4+0.0,9\12 -0.0%, 123 G# | ---,3648_0_0_|_0.0:0.0_0.0:0.0,
note,369.9944218,Ab4+0.0,F#4+0.0,9\12 -0.0%, 123 C# | ---,5696_0_0_|_0.0:0.0_0.0:0.0,
note,369.9944218,Ab4+0.0,F#4+0.0,9\12 -0.0%, 123 B | ---,9792_0_0_|_0.0:0.0_0.0:0.0,
note,369.9944218,Ab4+0.0,F#4+0.0,9\12 -0.0%, 123 Bb | ---,17984_0_0_|_0.0:0.0_0.0:0.0,
note,391.9954355,A4+0.0,G4+0.0,10\12 -0.0%, 12- | ---,576_0_0_|_0.0:0.0_0.0:0.0,
note,415.3046961,Bb4+0.0,Ab4+0.0,11\12 -0.0%, 1Bb-- | ---,192_0_0_|_0.0:0.0_0.0:0.0,
note,415.3046961,Bb4+0.0,Ab4+0.0,11\12 -0.0%, 12- | Bb ---,262720_0_0_|_0.0:0.0_0.0:0.0,
note,415.3046961,Bb4+0.0,Ab4+0.0,11\12 -0.0%, 1-- | 4--,1048640_0_0_|_0.0:0.0_0.0:0.0,
